# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT MLT
2003.00 11.00 20.00 17.00 37.00 133.50 57.50 21.93
2003.00 11.00 20.00 17.00 40.00 133.50 57.50 21.97
2003.00 11.00 20.00 17.00 49.00 133.50 57.50 22.12
2003.00 11.00 20.00 17.00 52.00 133.50 57.50 22.16
2003.00 11.00 20.00 18.00 1.00 133.50 57.50 22.31
2003.00 11.00 20.00 18.00 5.00 133.50 57.50 22.37
2003.00 11.00 20.00 19.00 45.00 133.50 57.50 23.96
2003.00 11.00 20.00 20.00 25.00 133.50 57.50 0.60
2003.00 11.00 20.00 16.00 24.00 136.00 57.50 20.93
2003.00 11.00 20.00 16.00 37.00 136.00 57.50 21.14
2003.00 11.00 20.00 17.00 37.00 136.00 57.50 22.09
2003.00 11.00 20.00 17.00 40.00 136.00 57.50 22.14
2003.00 11.00 20.00 18.00 1.00 136.00 57.50 22.47
2003.00 11.00 20.00 18.00 5.00 136.00 57.50 22.54
2003.00 11.00 20.00 19.00 45.00 136.00 57.50 0.13
2003.00 11.00 20.00 20.00 25.00 136.00 57.50 0.77
2003.00 11.00 20.00 20.00 28.00 136.00 57.50 0.81
2003.00 11.00 20.00 16.00 24.00 138.50 57.50 21.10
2003.00 11.00 20.00 16.00 30.00 138.50 57.50 21.19
2003.00 11.00 20.00 17.00 40.00 138.50 57.50 22.31
2003.00 11.00 20.00 18.00 30.00 138.50 57.50 23.10
2003.00 11.00 20.00 19.00 28.00 138.50 57.50 0.02
2003.00 11.00 20.00 19.00 45.00 138.50 57.50 0.29
2003.00 11.00 20.00 20.00 0.00 138.50 57.50 0.53
2003.00 11.00 20.00 20.00 8.00 138.50 57.50 0.66
2003.00 11.00 20.00 20.00 29.00 138.50 57.50 1.00
2003.00 11.00 20.00 16.00 23.00 141.00 57.50 21.25
2003.00 11.00 20.00 16.00 24.00 141.00 57.50 21.26
2003.00 11.00 20.00 16.00 49.00 141.00 57.50 21.66
2003.00 11.00 20.00 16.00 53.00 141.00 57.50 21.73
2003.00 11.00 20.00 17.00 53.00 141.00 57.50 22.68
2003.00 11.00 20.00 18.00 27.00 141.00 57.50 23.22
2003.00 11.00 20.00 18.00 30.00 141.00 57.50 23.27
2003.00 11.00 20.00 18.00 52.00 141.00 57.50 23.62
2003.00 11.00 20.00 19.00 51.00 141.00 57.50 0.56
2003.00 11.00 20.00 20.00 8.00 141.00 57.50 0.83
2003.00 11.00 20.00 20.00 9.00 141.00 57.50 0.84
2003.00 11.00 20.00 20.00 28.00 141.00 57.50 1.15
