# YEAR  MONTH   DAY HOUR    MINUTE  MLON    MLAT
2003.00 11.00 20.00 19.00 13.00 153.50 57.50
2003.00 11.00 20.00 19.00 36.00 153.50 57.50
2003.00 11.00 20.00 19.00 39.00 153.50 57.50
2003.00 11.00 20.00 19.00 40.00 153.50 57.50
2003.00 11.00 20.00 20.00 20.00 153.50 57.50
2003.00 11.00 20.00 20.00 22.00 153.50 57.50
2003.00 11.00 20.00 17.00 16.00 156.00 57.50
2003.00 11.00 20.00 18.00 2.00 156.00 57.50
2003.00 11.00 20.00 18.00 16.00 156.00 57.50
2003.00 11.00 20.00 19.00 34.00 156.00 57.50
2003.00 11.00 20.00 19.00 40.00 156.00 57.50
2003.00 11.00 20.00 20.00 20.00 156.00 57.50
